num,path,answer,description,explanation

1,images/IMG_5719.jpg,Echinostoma malayanum / Echinostoma revolutum,,

2,images/IMG_5720.jpg,Angiostrongylus cantonensis,,為雌性，有理髮廳標誌

3,images/IMG_5721.jpg,Schistosoma mansoni,,有側刺

4,images/IMG_5722.jpg,Giardia lamblia / Giardia lamblia cyst,,

5,images/IMG_5723.jpg,Diphyllobothrium latum,,花瓣狀子宮

6,images/IMG_5724.jpg,Spirometra mansoni,,

7,images/IMG_5725.jpg,Entamoeba coli,,

8,images/IMG_5726.jpg,Taenia saginata,,

9,images/IMG_5727.jpg,Schistosoma japonicum,,

10,images/IMG_5728.jpg,Toxocara canis / Toxocara cati,,

11,images/IMG_5729.jpg,Fasciola hepatica,,

12,images/IMG_5730.jpg,Necator americanus / Ancylostoma duodenale,,中小型蟲卵、卵殼薄、卵兩端較圓鈍

13,images/IMG_5731.jpg,Ancylostoma duodenale,,兩分岔交尾刺

14,images/IMG_5732.jpg,假葉目 / 擬葉目 / Pseudophyllidea,,生殖孔位於中間

15,images/IMG_5733.jpg,Enterobius vermicularis,,D型卵。

16,images/IMG_5734.jpg,Trypanosoma cruzi,,

17,images/IMG_5735.jpg,Capillaria philippinensis,,有兩個透明卵塞、卵殼有紋路、有腰身。

18,images/IMG_5736.jpg,Entamoeba coli,有大於四個核,

19,images/IMG_5737.jpg,Hymenolepis nana / Hymenolepis diminuta,,成熟體節有三個睪丸、兩個在右一個在左、生殖孔皆在左邊

20,images/IMG_5738.jpg,Acanthamoeba culbertsoni / Acanthamoeba castellanii,（08考古給的學名和09不一樣，但現在更新了09給的學名）,

21,images/IMG_5739.jpg,bed bug / 臭蟲,,六隻腳、腳無鉤

22,images/IMG_5740.jpg,Ancylostoma caninum,,口部有三對腹齒

23,images/IMG_5741.jpg,Enterobius vermicularis,,具有頭翼與食道球

24,images/IMG_5742.jpg,Clonorchis sinensis,,沼螺(口有薄膜)

25,images/IMG_5743.jpg,Dipylidium caninum,,每一個體節有兩套生殖系統和兩套生殖孔

26,images/IMG_5744.jpg,Trichinella spiralis,,

27,images/IMG_5745.jpg,Schistosoma haematobium,,大型蟲卵、無卵蓋、有小小的尾刺

28,images/IMG_5746.jpg,Heterophyes heterophyes,,有三個吸盤，身體後端有兩個上下斜列之圓形睪丸

29,images/IMG_5747.jpg,tick / 蜱,,

30,images/IMG_5748.jpg,Trichomonas vaginalis / Trichomonas vaginalis trophozoite,,

31,images/IMG_5749.jpg,Echinostoma malayanum / Echinostoma revolutum,,

32,images/IMG_5750.jpg,Diphyllobothrium latum,,

